	0.0	0.0042	0.0082	0.0117	0.0126	0.773	1.8	2.58	3.6	5.333	7.246	11.63	13.82	15.97	20.44	23.03	27.82	33.9
Lasiopodomys	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Lasiurus	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Lauraceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Leidymys	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Lemmiscus	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Lemmus	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Lemoynea	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Leopardus	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Lepoides	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
Leptarctus	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0
Leptauchenia	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Leptocyon	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0
Leptodontomys	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0
Lepus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Lignimus	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Limnoecus	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0
Liodontia	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
Liolithax	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Longirostromeryx	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
Lontra	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Lophocetus	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
